month,state,district,demo_age_5_17,demo_age_17_
2025-03-01,Chhattisgarh,Bijapur,294,3385
2025-03-01,Chhattisgarh,Bilaspur,1066,19431
2025-03-01,Chhattisgarh,Dakshin Bastar Dantewada,364,771
2025-03-01,Chhattisgarh,Dantewada,162,243
2025-03-01,Chhattisgarh,Dhamtari,382,10273
2025-03-01,Chhattisgarh,Durg,1512,10144
2025-03-01,Chhattisgarh,Gariyaband,122,5062
2025-03-01,Chhattisgarh,Gaurela-pendra-marwahi,79,773
2025-03-01,Chhattisgarh,Janjgir-champa,1438,30658
2025-03-01,Chhattisgarh,Jashpur,1352,6992
2025-03-01,Chhattisgarh,Kabeerdham,215,3840
2025-03-01,Chhattisgarh,Kanker,558,4198
2025-03-01,Chhattisgarh,Kawardha,637,17645
2025-03-01,Chhattisgarh,Kondagaon,114,1192
2025-03-01,Chhattisgarh,Korba,223,4727
2025-03-01,Chhattisgarh,Koriya,413,3746
2025-03-01,Chhattisgarh,Mahasamund,309,3131
2025-03-01,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,14,54
2025-03-01,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,99,611
2025-03-01,Chhattisgarh,Mungeli,278,15373
2025-03-01,Chhattisgarh,Narayanpur,358,1920
2025-03-01,Chhattisgarh,Raigarh,1833,19707
2025-03-01,Chhattisgarh,Raipur,1175,20034
2025-03-01,Chhattisgarh,Rajnandgaon,886,24246
2025-03-01,Chhattisgarh,Sakti,99,789
2025-03-01,Chhattisgarh,Sukma,260,1427
2025-03-01,Chhattisgarh,Surajpur,570,7642
2025-03-01,Chhattisgarh,Surguja,939,11184
2025-03-01,Chhattisgarh,Uttar Bastar Kanker,128,1212
2025-03-01,Dadra and Nagar Haveli,Dadra and Nagar Haveli,49,593
2025-03-01,Dadra and Nagar Haveli and Daman and Diu,Daman,34,572
2025-03-01,Dadra and Nagar Haveli and Daman and Diu,Diu,35,156
2025-03-01,Daman and Diu,Daman,18,186
2025-03-01,Delhi,Central Delhi,1049,12943
2025-03-01,Delhi,East Delhi,1926,16285
2025-03-01,Delhi,New Delhi,252,1390
2025-03-01,Delhi,North Delhi,965,11456
2025-03-01,Delhi,North East,23,2908
2025-03-01,Delhi,North East Delhi,2275,15592
2025-03-01,Delhi,North West Delhi,6373,62825
2025-03-01,Delhi,Shahdara,660,4206
2025-03-01,Delhi,South Delhi,2881,36563
2025-03-01,Delhi,South West Delhi,3502,32761
2025-03-01,Delhi,West Delhi,4328,45156
2025-03-01,Goa,North Goa,653,3568
2025-03-01,Goa,South Goa,570,2780
2025-03-01,Gujarat,Ahmedabad,9162,55255
2025-03-01,Gujarat,Amreli,1128,7235
2025-03-01,Gujarat,Anand,1001,11416
2025-03-01,Gujarat,Arvalli,740,1351
2025-03-01,Gujarat,Banaskantha,2962,12676
2025-03-01,Gujarat,Bharuch,2761,13952
2025-03-01,Gujarat,Bhavnagar,2409,14481
2025-03-01,Gujarat,Botad,721,1931
2025-03-01,Gujarat,Chhotaudepur,740,2493
2025-03-01,Gujarat,Dahod,2071,11658
2025-03-01,Gujarat,Devbhumi Dwarka,167,1511
2025-03-01,Gujarat,Dohad,42,920
2025-03-01,Gujarat,Gandhinagar,1801,12352
2025-03-01,Gujarat,Gir Somnath,933,2191
2025-03-01,Gujarat,Jamnagar,1436,11597
2025-03-01,Gujarat,Junagadh,1663,9295
2025-03-01,Gujarat,Kachchh,2113,10502
2025-03-01,Gujarat,Kheda,3116,17120
2025-03-01,Gujarat,Mahesana,2590,12569
2025-03-01,Gujarat,Mahisagar,238,1710
2025-03-01,Gujarat,Morbi,552,2353
2025-03-01,Gujarat,Narmada,955,3082
2025-03-01,Gujarat,Navsari,2844,8310
2025-03-01,Gujarat,Panchmahals,878,6690
2025-03-01,Gujarat,Patan,988,6330
2025-03-01,Gujarat,Porbandar,829,3297
2025-03-01,Gujarat,Rajkot,2099,22508
2025-03-01,Gujarat,Sabarkantha,2777,10632
2025-03-01,Gujarat,Surat,7172,56297
2025-03-01,Gujarat,Surendra Nagar,1653,12061
2025-03-01,Gujarat,Tapi,1115,3072
2025-03-01,Gujarat,The Dangs,484,1400
2025-03-01,Gujarat,Vadodara,3492,27140
2025-03-01,Gujarat,Valsad,3409,11950
2025-03-01,Haryana,Ambala,516,4084
2025-03-01,Haryana,Bhiwani,601,5350
2025-03-01,Haryana,Charkhi Dadri,312,2114
2025-03-01,Haryana,Faridabad,2675,21482
2025-03-01,Haryana,Fatehabad,802,7118
2025-03-01,Haryana,Gurgaon,2270,19163
2025-03-01,Haryana,Hisar,1003,9821
2025-03-01,Haryana,Jhajjar,808,5900
2025-03-01,Haryana,Jind,673,5955
2025-03-01,Haryana,Kaithal,969,8135
2025-03-01,Haryana,Karnal,1203,9116
2025-03-01,Haryana,Kurukshetra,636,4982
2025-03-01,Haryana,Mahendragarh,478,4766
2025-03-01,Haryana,Mewat,814,7691
2025-03-01,Haryana,Palwal,1067,9937
2025-03-01,Haryana,Panchkula,1000,5478
2025-03-01,Haryana,Panipat,393,2836
2025-03-01,Haryana,Rewari,903,5174
2025-03-01,Haryana,Rohtak,577,3477
2025-03-01,Haryana,Sirsa,669,7127
2025-03-01,Haryana,Sonipat,1089,8791
2025-03-01,Haryana,Yamuna Nagar,1085,8223
2025-03-01,Himachal Pradesh,Bilaspur,136,885
2025-03-01,Himachal Pradesh,Chamba,1006,3938
2025-03-01,Himachal Pradesh,Hamirpur,103,756
2025-03-01,Himachal Pradesh,Kangra,960,7812
2025-03-01,Himachal Pradesh,Kullu,273,1431
2025-03-01,Himachal Pradesh,Mandi,730,3372
2025-03-01,Himachal Pradesh,Shimla,378,2808
2025-03-01,Himachal Pradesh,Sirmaur,729,3559
2025-03-01,Himachal Pradesh,Solan,251,1577
2025-03-01,Himachal Pradesh,Una,121,976
2025-03-01,Jammu and Kashmir,Anantnag,1210,7828
2025-03-01,Jammu and Kashmir,Badgam,325,3926
2025-03-01,Jammu and Kashmir,Bandipore,369,2119
2025-03-01,Jammu and Kashmir,Baramula,1033,5263
2025-03-01,Jammu and Kashmir,Budgam,1603,3792
2025-03-01,Jammu and Kashmir,Doda,264,2181
2025-03-01,Jammu and Kashmir,Ganderbal,179,1123
2025-03-01,Jammu and Kashmir,Jammu,858,9258
2025-03-01,Jammu and Kashmir,Kargil,82,354
2025-03-01,Jammu and Kashmir,Kathua,407,4528
2025-03-01,Jammu and Kashmir,Kulgam,462,2414
2025-03-01,Jammu and Kashmir,Kupwara,1260,6342
2025-03-01,Jammu and Kashmir,Leh,72,294
2025-03-01,Jammu and Kashmir,Pulwama,559,3044
2025-03-01,Jammu and Kashmir,Punch,767,5067
2025-03-01,Jammu and Kashmir,Rajouri,687,3575
2025-03-01,Jammu and Kashmir,Ramban,397,1482
2025-03-01,Jammu and Kashmir,Reasi,458,2926
2025-03-01,Jammu and Kashmir,Samba,107,948
2025-03-01,Jammu and Kashmir,Shupiyan,417,1491
2025-03-01,Jammu and Kashmir,Srinagar,793,7017
2025-03-01,Jammu and Kashmir,Udhampur,379,4584
2025-03-01,Jharkhand,Bokaro,696,30424
2025-03-01,Jharkhand,Chatra,771,15350
2025-03-01,Jharkhand,Deoghar,839,25753
2025-03-01,Jharkhand,Dhanbad,1576,51451
2025-03-01,Jharkhand,Dumka,1035,23577
2025-03-01,Jharkhand,East Singhbhum,1142,20118
2025-03-01,Jharkhand,Garhwa,422,9519
2025-03-01,Jharkhand,Giridih,2465,65203
2025-03-01,Jharkhand,Godda,702,17494
2025-03-01,Jharkhand,Gumla,502,10116
2025-03-01,Jharkhand,Hazaribag,44,3434
2025-03-01,Jharkhand,Hazaribagh,1426,27417
2025-03-01,Jharkhand,Jamtara,318,11822
2025-03-01,Jharkhand,Khunti,371,7375
2025-03-01,Jharkhand,Kodarma,12,551
2025-03-01,Jharkhand,Koderma,324,12209
2025-03-01,Jharkhand,Latehar,627,12455
2025-03-01,Jharkhand,Lohardaga,311,6001
2025-03-01,Jharkhand,Pakaur,46,1333
2025-03-01,Jharkhand,Pakur,1025,22716
2025-03-01,Jharkhand,Palamau,17,1321
2025-03-01,Jharkhand,Palamu,2722,52336
2025-03-01,Jharkhand,Pashchimi Singhbhum,40,2616
2025-03-01,Jharkhand,Ramgarh,625,14401
2025-03-01,Jharkhand,Ranchi,2195,35596
2025-03-01,Jharkhand,Sahebganj,1040,22324
2025-03-01,Jharkhand,Sahibganj,13,662
2025-03-01,Jharkhand,Seraikela-Kharsawan,418,8451
2025-03-01,Jharkhand,Simdega,458,8904
2025-03-01,Jharkhand,West Singhbhum,771,14735
2025-03-01,Karnataka,Bagalkot,6710,9754
2025-03-01,Karnataka,Bagalkot *,24,87
2025-03-01,Karnataka,Ballari,1424,5310
2025-03-01,Karnataka,Bangalore,756,8034
2025-03-01,Karnataka,Bangalore Rural,492,5093
2025-03-01,Karnataka,Belagavi,6504,11546
2025-03-01,Karnataka,Belgaum,6671,12317
2025-03-01,Karnataka,Bellary,1163,5712
2025-03-01,Karnataka,Bengaluru,7330,50407
2025-03-01,Karnataka,Bidar,1812,10301
2025-03-01,Karnataka,Bijapur,2894,6420
2025-03-01,Karnataka,Chamrajanagar,954,3983
2025-03-01,Karnataka,Chamrajnagar,28,24
2025-03-01,Karnataka,Chickmagalur,181,1449
2025-03-01,Karnataka,Chikkaballapur,1083,7919
2025-03-01,Karnataka,Chikkamagaluru,588,2431
2025-03-01,Karnataka,Chitradurga,1400,9013
2025-03-01,Karnataka,Dakshina Kannada,2446,14069
2025-03-01,Karnataka,Davanagere,58,272
2025-03-01,Karnataka,Davangere,1520,5814
2025-03-01,Karnataka,Dharwad,4738,9235
2025-03-01,Karnataka,Gadag,3851,5201
2025-03-01,Karnataka,Gadag *,53,85
2025-03-01,Karnataka,Gulbarga,524,3348
2025-03-01,Karnataka,Hasan,25,166
2025-03-01,Karnataka,Hassan,1467,6522
2025-03-01,Karnataka,Haveri,6278,6725
2025-03-01,Karnataka,Haveri *,88,192
2025-03-01,Karnataka,Kalaburagi,1892,6192
2025-03-01,Karnataka,Kodagu,299,2302
2025-03-01,Karnataka,Kolar,1094,8671
2025-03-01,Karnataka,Koppal,1920,7737
2025-03-01,Karnataka,Mandya,1103,9607
2025-03-01,Karnataka,Mysore,317,2686
2025-03-01,Karnataka,Mysuru,1308,7910
2025-03-01,Karnataka,Raichur,1203,7460
2025-03-01,Karnataka,Ramanagar,966,7350
2025-03-01,Karnataka,Shimoga,309,2224
2025-03-01,Karnataka,Shivamogga,1894,6956
2025-03-01,Karnataka,Tumakuru,1286,6218
2025-03-01,Karnataka,Tumkur,883,5608
2025-03-01,Karnataka,Udupi,1135,6735
2025-03-01,Karnataka,Uttara Kannada,1738,7666
2025-03-01,Karnataka,Vijayanagara,859,3421
2025-03-01,Karnataka,Vijayapura,4662,5395
2025-03-01,Karnataka,Yadgir,2116,7682
2025-03-01,Kerala,Alappuzha,206,2629
2025-03-01,Kerala,Ernakulam,926,9472
2025-03-01,Kerala,Idukki,129,1430
2025-03-01,Kerala,Kannur,700,6329
2025-03-01,Kerala,Kasaragod,540,4127
2025-03-01,Kerala,Kollam,621,5923
2025-03-01,Kerala,Kottayam,87,953
2025-03-01,Kerala,Kozhikode,1741,15244
2025-03-01,Kerala,Malappuram,1981,21196
2025-03-01,Kerala,Palakkad,532,5546
2025-03-01,Kerala,Pathanamthitta,63,573
2025-03-01,Kerala,Thiruvananthapuram,888,8851
2025-03-01,Kerala,Thrissur,586,4978
2025-03-01,Kerala,Wayanad,410,4189
2025-03-01,Ladakh,Kargil,309,637
2025-03-01,Ladakh,Leh,440,1180
2025-03-01,Madhya Pradesh,Agar Malwa,200,1966
2025-03-01,Madhya Pradesh,Alirajpur,504,6836
2025-03-01,Madhya Pradesh,Anuppur,353,3860
2025-03-01,Madhya Pradesh,Ashok Nagar,767,7226
2025-03-01,Madhya Pradesh,Balaghat,2745,17133
2025-03-01,Madhya Pradesh,Barwani,1605,12675
2025-03-01,Madhya Pradesh,Betul,1826,9784
2025-03-01,Madhya Pradesh,Bhind,1482,13377
2025-03-01,Madhya Pradesh,Bhopal,1844,15489
2025-03-01,Madhya Pradesh,Burhanpur,753,3189
2025-03-01,Madhya Pradesh,Chhatarpur,2585,21358
2025-03-01,Madhya Pradesh,Chhindwara,2400,11513
2025-03-01,Madhya Pradesh,Damoh,929,10846
2025-03-01,Madhya Pradesh,Datia,913,7399
2025-03-01,Madhya Pradesh,Dewas,1095,12830
2025-03-01,Madhya Pradesh,Dhar,2248,14409
2025-03-01,Madhya Pradesh,Dindori,676,6609
2025-03-01,Madhya Pradesh,East Nimar,381,2508
2025-03-01,Madhya Pradesh,Guna,688,10221
2025-03-01,Madhya Pradesh,Gwalior,2014,15266
2025-03-01,Madhya Pradesh,Harda,400,1895
2025-03-01,Madhya Pradesh,Harda *,74,692
2025-03-01,Madhya Pradesh,Hoshangabad,359,1994
2025-03-01,Madhya Pradesh,Indore,3265,22947
2025-03-01,Madhya Pradesh,Jabalpur,1578,19130
2025-03-01,Madhya Pradesh,Jhabua,870,11823
2025-03-01,Madhya Pradesh,Katni,967,10714
2025-03-01,Madhya Pradesh,Khandwa,1775,3894
2025-03-01,Madhya Pradesh,Khargone,1713,10477
2025-03-01,Madhya Pradesh,Maihar,79,923
2025-03-01,Madhya Pradesh,Mandla,1352,8364
2025-03-01,Madhya Pradesh,Mandsaur,3894,14326
2025-03-01,Madhya Pradesh,Mauganj,48,920
2025-03-01,Madhya Pradesh,Morena,2789,29633
2025-03-01,Madhya Pradesh,Narmadapuram,90,799
2025-03-01,Madhya Pradesh,Narsimhapur,32,502
2025-03-01,Madhya Pradesh,Narsinghpur,747,5150
2025-03-01,Madhya Pradesh,Neemuch,949,6505
2025-03-01,Madhya Pradesh,Niwari,71,473
2025-03-01,Madhya Pradesh,Panna,673,10956
2025-03-01,Madhya Pradesh,Raisen,1156,8260
2025-03-01,Madhya Pradesh,Rajgarh,2106,10399
2025-03-01,Madhya Pradesh,Ratlam,1486,15805
2025-03-01,Madhya Pradesh,Rewa,1868,18520
2025-03-01,Madhya Pradesh,Sagar,1128,16281
2025-03-01,Madhya Pradesh,Satna,2019,19467
2025-03-01,Madhya Pradesh,Sehore,805,4280
2025-03-01,Madhya Pradesh,Seoni,2012,18208
2025-03-01,Madhya Pradesh,Shahdol,971,13170
2025-03-01,Madhya Pradesh,Shajapur,731,5170
2025-03-01,Madhya Pradesh,Sheopur,822,7501
2025-03-01,Madhya Pradesh,Shivpuri,2480,23237
2025-03-01,Madhya Pradesh,Sidhi,1155,13579
2025-03-01,Madhya Pradesh,Singrauli,925,7434
2025-03-01,Madhya Pradesh,Tikamgarh,2254,13150
2025-03-01,Madhya Pradesh,Ujjain,2175,15113
2025-03-01,Madhya Pradesh,Umaria,646,8332
2025-03-01,Madhya Pradesh,Vidisha,1146,5752
2025-03-01,Madhya Pradesh,West Nimar,22,43
2025-03-01,Maharashtra,Ahmadnagar,1274,27685
2025-03-01,Maharashtra,Akola,556,9714
2025-03-01,Maharashtra,Amravati,1169,13166
2025-03-01,Maharashtra,Aurangabad,1241,20315
2025-03-01,Maharashtra,Beed,1133,27733
2025-03-01,Maharashtra,Bhandara,268,5318
2025-03-01,Maharashtra,Buldhana,872,12410
2025-03-01,Maharashtra,Chandrapur,355,8933
2025-03-01,Maharashtra,Chatrapati Sambhaji Nagar,176,2120
2025-03-01,Maharashtra,Chhatrapati Sambhajinagar,208,1559
2025-03-01,Maharashtra,Dharashiv,22,141
2025-03-01,Maharashtra,Dhule,454,6315
2025-03-01,Maharashtra,Gadchiroli,222,3588
2025-03-01,Maharashtra,Gondiya,415,4676
2025-03-01,Maharashtra,Hingoli,390,10091
2025-03-01,Maharashtra,Jalgaon,1160,16617
2025-03-01,Maharashtra,Jalna,927,11590
2025-03-01,Maharashtra,Kolhapur,868,15179
2025-03-01,Maharashtra,Latur,877,18154
2025-03-01,Maharashtra,Mumbai,1278,23195
2025-03-01,Maharashtra,Mumbai City,984,10942
2025-03-01,Maharashtra,Mumbai Suburban,4058,39957
2025-03-01,Maharashtra,Nagpur,2249,25703
2025-03-01,Maharashtra,Nanded,1084,22465
2025-03-01,Maharashtra,Nandurbar,479,4372
2025-03-01,Maharashtra,Nashik,2083,31017
2025-03-01,Maharashtra,Osmanabad,614,15327
2025-03-01,Maharashtra,Palghar,1624,23551
2025-03-01,Maharashtra,Parbhani,723,13719
2025-03-01,Maharashtra,Pune,5781,74631
2025-03-01,Maharashtra,Raigad,431,4268
2025-03-01,Maharashtra,Raigarh,954,9301
2025-03-01,Maharashtra,Ratnagiri,188,3524
2025-03-01,Maharashtra,Sangli,271,6281
2025-03-01,Maharashtra,Satara,529,10238
2025-03-01,Maharashtra,Sindhudurg,125,2000
2025-03-01,Maharashtra,Solapur,1562,31965
2025-03-01,Maharashtra,Thane,6005,69162
2025-03-01,Maharashtra,Wardha,564,4601
2025-03-01,Maharashtra,Washim,239,3843
2025-03-01,Maharashtra,Yavatmal,1238,21186
2025-03-01,Manipur,Bishnupur,532,4147
2025-03-01,Manipur,Chandel,265,1347
2025-03-01,Manipur,Churachandpur,1006,3708
2025-03-01,Manipur,Imphal East,353,2547
2025-03-01,Manipur,Imphal West,694,5271
2025-03-01,Manipur,Jiribam,11,222
2025-03-01,Manipur,Senapati,605,3069
2025-03-01,Manipur,Tamenglong,231,1505
2025-03-01,Manipur,Thoubal,702,3603
2025-03-01,Manipur,Ukhrul,176,1752
2025-03-01,Meghalaya,East Garo Hills,80,3072
2025-03-01,Meghalaya,East Jaintia Hills,173,1169
2025-03-01,Meghalaya,East Khasi Hills,669,5210
2025-03-01,Meghalaya,North Garo Hills,48,1432
2025-03-01,Meghalaya,Ri Bhoi,331,3073
2025-03-01,Meghalaya,South Garo Hills,85,2130
2025-03-01,Meghalaya,South West Garo Hills,106,3395
2025-03-01,Meghalaya,South West Khasi Hills,368,2872
2025-03-01,Meghalaya,West Garo Hills,287,5326
2025-03-01,Meghalaya,West Jaintia Hills,493,3436
2025-03-01,Meghalaya,West Khasi Hills,586,4691
2025-03-01,Mizoram,Aizawl,744,5276
2025-03-01,Mizoram,Champhai,136,1824
2025-03-01,Mizoram,Kolasib,103,690
2025-03-01,Mizoram,Lawngtlai,39,461
2025-03-01,Mizoram,Lunglei,693,3783
2025-03-01,Mizoram,Mamit,159,737
2025-03-01,Mizoram,Mammit,13,162
2025-03-01,Mizoram,Saiha,107,706
2025-03-01,Mizoram,Serchhip,211,1153
2025-03-01,Nagaland,Chumukedima,62,447
2025-03-01,Nagaland,Dimapur,256,2014
2025-03-01,Nagaland,Kiphire,60,682
2025-03-01,Nagaland,Kohima,48,896
2025-03-01,Nagaland,Mokokchung,38,782
2025-03-01,Nagaland,Mon,162,1192
2025-03-01,Nagaland,Niuland,27,127
2025-03-01,Nagaland,Peren,61,445
2025-03-01,Nagaland,Phek,15,307
2025-03-01,Nagaland,Tuensang,110,1198
2025-03-01,Nagaland,Wokha,70,1022
2025-03-01,Nagaland,Zunheboto,53,498
2025-03-01,Odisha,Angul,1105,8037
2025-03-01,Odisha,Balangir,1097,11075
2025-03-01,Odisha,Baleshwar,73,568
2025-03-01,Odisha,Baleswar,2522,14722
2025-03-01,Odisha,Bargarh,814,7814
2025-03-01,Odisha,Bhadrak,2025,12398
2025-03-01,Odisha,Boudh,172,1820
2025-03-01,Odisha,Cuttack,1830,17706
2025-03-01,Odisha,Debagarh,247,2013
2025-03-01,Odisha,Dhenkanal,1232,7709
2025-03-01,Odisha,Gajapati,960,7416
2025-03-01,Odisha,Ganjam,3639,31723
2025-03-01,Odisha,JAJPUR,1028,6712
2025-03-01,Odisha,Jagatsinghapur,705,5912
2025-03-01,Odisha,Jajapur,923,6703
2025-03-01,Odisha,Jharsuguda,543,5926
2025-03-01,Odisha,Kalahandi,1217,13544
2025-03-01,Odisha,Kandhamal,1029,8549
2025-03-01,Odisha,Kendrapara,1629,13310
2025-03-01,Odisha,Kendujhar,2478,18143
2025-03-01,Odisha,Khorda,1818,12364
2025-03-01,Odisha,Koraput,965,11547
2025-03-01,Odisha,Malkangiri,721,5296
2025-03-01,Odisha,Mayurbhanj,2569,20726
2025-03-01,Odisha,Nabarangapur,882,14474
2025-03-01,Odisha,Nayagarh,1106,7983
2025-03-01,Odisha,Nuapada,433,4707
2025-03-01,Odisha,Puri,787,7675
2025-03-01,Odisha,Rayagada,1042,9181
2025-03-01,Odisha,Sambalpur,1093,8218
